name,population
東京都,14047594
神奈川県,9237337
大阪府,8837685
愛知県,7542415
埼玉県,7344765
千葉県,6284480
兵庫県,5465002
北海道,5224614
福岡県,5135214
静岡県,3633202
茨城県,2867009
広島県,2799702
京都府,2578087
宮城県,2301996
新潟県,2201272
長野県,2048011
岐阜県,1978742
群馬県,1939110
栃木県,1933146
岡山県,1888432
福島県,1833152
三重県,1770254
熊本県,1738301
鹿児島県,1588256
沖縄県,1467480
滋賀県,1413610
山口県,1342059
愛媛県,1334841
奈良県,1324473
長崎県,1312317
青森県,1237984
岩手県,1210534
石川県,1132526
大分県,1123852
宮崎県,1069576
山形県,1068027
富山県,1034814
秋田県,959502
香川県,950244
和歌山県,922584
佐賀県,811442
山梨県,809974
福井県,766863
徳島県,719559
高知県,691527
島根県,671126
鳥取県,553407